Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
04/01/2017;CANDIOTA III;0;0;0
04/01/2017;CAUCAIA;0;0;0
04/01/2017;CELSO FURTADO;150;147,84;-1,44
04/01/2017;COCAL;0;0;0
04/01/2017;COLORADO;21;21;0
04/01/2017;CRATO;0;0;0
04/01/2017;DAIA;0;0;0
04/01/2017;EUZEBIO ROCHA;210;203,45;-3,12
04/01/2017;FER.GASPARIAN;0;0;0
04/01/2017;GERAMAR I;0;0;0
04/01/2017;GERAMAR II;0;0;0
04/01/2017;GOIANIA II;0;0;0
04/01/2017;GOV.L.BRIZOLA;451,67;450,47;-0,27
04/01/2017;IGARAPE;0;0;0
04/01/2017;IGUATU;0;0;0
04/01/2017;JAIME BELTRAO;0;0;0
04/01/2017;JALLES MACHAD;0;0;0
04/01/2017;JE.SO.PEREIRA;310;306,21;-1,22
04/01/2017;JUAZEIRO NORT;0;0;0
04/01/2017;JUIZ DE FORA;0;0;0
04/01/2017;L.C.PRESTES;0;0;0
04/01/2017;LUIZ O R MELO;204;202,03;-0,97
